source,source_id,reason,verified_by,verified_at
cobra,1812,"human-reviewed: test/junk tournament, exclude from merge entirely",Marcus Morrisey,2026-09-05
cobra,1813,"human-reviewed: test/junk tournament, exclude from merge entirely",Marcus Morrisey,2026-09-05
cobra,2673,"human-reviewed: test/junk tournament, exclude from merge entirely",Marcus Morrisey,2026-09-05
cobra,1864,"Name is ""Cambridge SC - testing"" with an implausibly low player count (2) vs. the real Cambridge SC candidate on the same date -- looks like a test/placeholder entry rather than a real tournament.",Marcus Morrisey,2026-09-05
cobra,2001,"Name is literally ""Test Tournament"" -- placeholder/test data, not a real event.",Marcus Morrisey,2026-09-05
cobra,2422,"'Prova' is Italian for 'test/trial', indicating placeholder/test data rather than a real tournament.",Marcus Morrisey,2026-09-05
cobra,3227,Cobra tournament name is literally 'test'.,Marcus Morrisey,2026-09-05
cobra,3228,Cobra tournament name is literally 'test'.,Marcus Morrisey,2026-09-05
cobra,2575,"'Dolor sit amet' is classic Lorem Ipsum placeholder Latin text, indicating test/junk data.",Marcus Morrisey,2026-09-05
cobra,3182,"Cobra tournament is literally named 'Test Tournament', a placeholder rather than a real event.",Marcus Morrisey,2026-09-05
cobra,3326,"Name is literally ""Test"".",Marcus Morrisey,2026-09-05
cobra,3401,"Name is a single placeholder letter (""f"") with no player count recorded.",Marcus Morrisey,2026-09-05
cobra,3476,"Name is a single placeholder letter (""N"").",Marcus Morrisey,2026-09-05
cobra,3524,"Name is literally ""Test"".",Marcus Morrisey,2026-09-05
cobra,3582,"Name contains ""Test"" (""Surveyor-SSS-Test""), looks like a platform test entry.",Marcus Morrisey,2026-09-05
cobra,3583,"Name contains ""Test"" (""Surveyor-DSS-Test""), looks like a platform test entry.",Marcus Morrisey,2026-09-05
cobra,3584,"Name is the generic placeholder ""private"" with no identifying details.",Marcus Morrisey,2026-09-05
cobra,3606,"Name is the generic placeholder ""private"" with no identifying details.",Marcus Morrisey,2026-09-05
cobra,3639,"Name is literally ""deck reg test"".",Marcus Morrisey,2026-09-05
cobra,4034,"Name explicitly says ""Tests Cobra Coin-Flipping Tournament"", indicating a platform/software test rather than a real tournament.",Marcus Morrisey,2026-09-05
cobra,3816,"Cobra name is literally 'Testevent', clear placeholder/test data.",Marcus Morrisey,2026-09-05
cobra,3838,"Cobra name is literally 'Test', clear placeholder/test data.",Marcus Morrisey,2026-09-05
cobra,4064,"Cobra name is literally ""Test""",Marcus Morrisey,2026-09-05
cobra,4095,"Cobra name is literally ""Test""",Marcus Morrisey,2026-09-05
cobra,4163,"Name is literally ""GP San Jose - Testing Only""",Marcus Morrisey,2026-09-05
